Region,Operational Capacity (GW),Number of Operational Farms,% of UK Operational Capacity
Scotland,9.5036,335,64.23
Wales,1.2197,72,8.24
Northern Ireland,1.195,82,8.08
Yorkshire and The Humber,0.6491,46,4.39
North West (England),0.4754,48,3.21
North East (England),0.46764999999999995,42,3.16
East,0.454,51,3.07
East Midlands (England),0.3985,42,2.69
South West (England),0.3005,37,2.03
South East (England),0.11289999999999999,9,0.76
London,0.012600000000000002,4,0.09
West Midlands (England),0.008400000000000001,4,0.06
